id,role,age,grade,follow_local,follow_federal,influence_local,influence_federal,align_parents,support_local_16,support_federal_16,explanation,likelihood_vote,informed_local,informed_federal,mayor_knowledge_text,news_sources,subject,years_in_ed,civic_skills_text,reasoning_text,mayor_knowledge_score,reasoning_depth_score,faculty_reasoning_score,civic_skills_score,engagement_index,civic_literacy_index,mayor_knowledge_band,news_diversity,support_pattern
28,Student,15.0,9.0,5.0,3.0,1.0,1.0,5.0,Yes,Yes,i think that if we can dirve we can vote,5.0,5.0,5.0,he is very big on sf culture and he is a democrat but not a very left lening one,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,1.0,0.4,,0.0,83.3,24.2,Low (0.1-2.9),4,Both
29,Student,17.0,11.0,2.0,3.0,3.0,1.0,4.0,No,No,Kids arent mature enough and are too busy with school,3.0,2.0,2.0,Rich - Fund Police - Revitilize Downtown - Social Media Prescense ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,3.5,0.4,,0.0,41.7,24.8,Medium (3-5.9),2,Neither
30,Student,17.0,12.0,2.0,2.0,3.0,1.0,4.0,No,No,terribly idea bro i know too many 16 year olds. lowk raise the voting age,5.0,1.0,1.0,his name is daniel lurie and he makes a lot of tiktoks,"Social media (TikTok, Instagram, X), Family or friends",,,,,3.0,0.6,,0.0,50.0,20.4,Medium (3-5.9),2,Neither
31,Student,16.0,11.0,2.0,3.0,1.0,2.0,4.0,No,No,"I think that people who are 16 are very easily influenced by the people around them, as well as the media. I think that at such a young age kids are not truly able to develop their own opinions through one, constant pressure from peers and the media. As well as the idea of consequences if you vote for the ""wrong thing"" or ""wrong person.""",1.0,1.0,1.0,,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,2.6,,0.0,25.0,18.5,None (0),5,Neither
32,Faculty,,,4.0,5.0,,,,No,No,I think 16 year olds lack the education to be independent voters. ,,3.0,3.0,,"Traditional news (NYT, WSJ, SF Chronicle)",History,20+,"I think everyone, not just young people, need to understand what they are voting for. Most people vote based on feeling rather than careful consideration of what they are voting for. This is why we get a lot of people, say, the day after Brexit or the 2024 Trump election already regretting their choice. I have no patience for the phrase, ""If I had known...""  ","Some are ready, some are not. Lack of education is the main reason.",0.0,1.08,2.12,2.17,,,None (0),1,Neither
33,Faculty,,,3.0,5.0,,,,No,No,The pre-frontal cortex hasn't fully developed.  Judgement of 16 year olds is notoriously limited and easily swayed.  We have enough problems with voters of legal age being politically uneducated without adding a younger class.,,1.0,1.0,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",Sciences,6–10,Awareness of issues beyond party affiliation.  Willingness to look at implications of decisions.  Understanding the role of the offices being voted for.,The pre-frontal cortex hasn't fully developed.  Judgement of 16 year olds is notoriously limited and easily swayed. ,0.0,2.04,1.36,2.13,,,None (0),2,Neither
34,Student,15.0,9.0,3.0,2.0,1.0,1.0,5.0,Yes,Yes,I think lowering the voting age to 16 would be completely beneficial given that our decision will effect our lives and we should be able to have a say in it. ,5.0,4.0,4.0,I don't know much since I don't live in SF but if I did I'm sure I would be more informed. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.5,1.24,,0.0,58.3,15.7,Low (0.1-2.9),4,Both
35,Student,17.0,12.0,2.0,4.0,3.0,2.0,3.0,Yes,Yes,"I think more people being involved in politics would be ideal. With that said when the voting age was lowered to 18 most 18 year olds didn't vote anyways so I think it's more important to get more people involved and informed about politics in the first place rather than necessarily lowering the voting age, though I still wouldn't oppose it.",5.0,4.0,4.0,"Wants to clean up crime, improve the housing situation (though not necessarily always through the right means), tried to straddle the line with the whole union/public schools situation and did ok I think.","YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,2.5,4.16,,0.0,66.7,37.1,Low (0.1-2.9),3,Both
36,Faculty,,,4.0,4.0,,,,Yes,Yes,"I think there is context to these answers, but ultimately, I believe young people are capable of making choices for themselves when it comes to elections and other political happenings. My biggest concern is that society do a better job at preparing young people for using their vote in the way that best suits them. Right now, and always, the amount of deceit and half truths that go out during campaigns is hard to sift through, even for experienced voters. So, I think creating a system to make sure all people, but especially young people are able to get accurate information that allows them to vote for their needs is most important.",,4.0,3.0,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",Admin,20+,Having an understanding of the impacts of what a vote means. I don't think people vote with a clear understanding of what each ballot means to their needs.,Every person if different in how they consume media. Figuring out what is true and accurate is what is most important.,0.0,4.0,0.84,3.77,,,None (0),2,Both
37,Faculty,,,5.0,5.0,,,,Yes,No,"I am less convinced that the average American teenager (across the country) is informed enough to weigh in on national issues, but I also don't think the national adult population is appropriately informed either....",,3.0,3.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",History,20+,"an understanding of the way that government works, engagement with a broad range of perspectives and well developed skills of listening and criticial thinking. ","This echoes my earlier comment, but most Americans need more information to make informed voting decisions, not just teens.",0.0,3.6,2.36,5.0,,,None (0),3,Local only
38,Faculty,,,3.0,2.0,,,,Unsure,No,Children are often under the influence of their home environments. Child voting would double count some idealogies under some households. Children also are not developmentally mature enough to limit many of their biases from their home environments.,,2.0,2.0,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",Sciences,6–10,"Empathy, constitutional rights and amendments, social justice, history of how American politics have affected many types of people.","Children have some idea of how ballot measures and govt officials affect them, but they do not understand all broader aspects. On the federal level, children do not have the broader mindset and experiences to consider the whole effects unless they are given that information.",0.0,2.48,5.0,7.6,,,None (0),3,Mixed/Unsure
39,Student,17.0,12.0,4.0,4.0,1.0,1.0,4.0,Unsure,Unsure,idk,5.0,4.0,3.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.0,0.0,,0.0,83.3,18.8,None (0),3,Mixed/Unsure
40,Student,15.0,9.0,2.0,3.0,2.0,3.0,5.0,Yes,Yes,No,5.0,5.0,5.0,Daniel lurieeee my goat,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,0.5,0.0,,0.0,58.3,11.4,Low (0.1-2.9),2,Both
41,Faculty,,,5.0,5.0,,,,Unsure,Unsure,"I'm not always certain of the preparedness to vote from the general electorate of folks above the age of 18, so I'm not optimistic that lowering the age required to vote would be the solution to positive change. ",,1.0,1.0,,"Traditional news (NYT, WSJ, SF Chronicle)",Arts,6–10,Knowledge of impact/effectiveness from a data oriented perspective of various legislation initiatives that connect to values you believe in.,I think that my experience with students at UHS isn't representative/data oriented in a way where I can give a clear assessment.,0.0,1.6,0.96,6.27,,,None (0),1,Mixed/Unsure
42,Faculty,,,4.0,5.0,,,,Yes,Yes,"The earlier that citizens engage in determining their future via politics, the better. ",,3.0,3.0,,"Traditional news (NYT, WSJ, SF Chronicle)",Language,20+,"Community engagement is crucial for understanding what is happening in the city. On a national level, reading news not on IG - reliable news - is critical. ","Because they do not have the right to vote, they disengage. Knowing that they will vote will propel them to know how their lives may be impacted negatively if they are not informed. ",0.0,0.52,2.52,0.83,,,None (0),1,Both
43,Student,16.0,10.0,2.0,4.0,2.0,4.0,4.0,Yes,No,"I feel like the youth have a lot of involvement in local politics, and would make more of an impact in local politics. Also, I think that it’s better that voters are older when they vote federally because they have more experience and it impacts the country as a whole.",4.0,2.0,3.0,,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,3.24,,0.0,58.3,23.8,None (0),4,Local only
44,Student,16.0,10.0,3.0,4.0,2.0,1.0,3.0,Yes,Yes,"I feel like it is good nowadays that a lot of people, especially with social media at 16, have distinct, unique opinions that they could share by voting. ",5.0,4.0,3.0,I know he is a Democrat. I know he has a lot of progressive policies and is focusing on cleaning up the drug and homelessness. ,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,3.0,1.12,,0.0,75.0,31.5,Medium (3-5.9),5,Both
45,Student,17.0,11.0,3.0,5.0,1.0,1.0,4.0,No,No,No reason you are too young,4.0,2.0,2.0,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,0.0,0.24,,0.0,75.0,19.6,None (0),2,Neither
46,Student,17.0,11.0,2.0,3.0,1.0,1.0,5.0,No,No,I don't feel adequately educated.,1.0,1.0,1.0,The current SF mayor is Daniel Lurie and he's been doing a lot to address homelessness in the city.,"Family or friends, School",,,,,3.5,0.24,,0.0,25.0,24.2,Medium (3-5.9),2,Neither
47,Student,16.0,11.0,2.0,2.0,1.0,1.0,4.0,No,No,"I am not politically active or educated enough. Also, children are so gullible and hormonal and politicians would easily use them to their advantage. ",2.0,2.0,2.0,From what I know Lurie is a more moderate democrat. ,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,3.0,0.96,,0.0,25.0,21.6,Medium (3-5.9),2,Neither
48,Faculty,,,3.0,4.0,,,,No,No,"I think there are already too many underinformed voters, and would not support this unless it were part of a larger program of voter education.",,3.0,2.0,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",History,20+,being informed and thoughtful and not making knee-jerk decisions,"voting age is arbitrary anyway (used to be 21 until the Vietnam War), but this just strikes me as giving people without that much information or background a power that they don't quite understand",0.0,2.2,2.4,0.33,,,None (0),3,Neither
49,Student,16.0,10.0,2.0,2.0,1.0,1.0,5.0,No,No,16 year olds not responsible enough,5.0,1.0,1.0,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.0,0.24,,0.0,50.0,7.1,None (0),2,Neither
50,Student,16.0,10.0,5.0,3.0,3.0,1.0,4.0,No,No,People who are under 18 do not have the maturity to make their own decisions rather than be influenced by those around him. ,5.0,2.0,1.0,I know that overall his agenda is to try and bring the city back to life. He so far has started by putting his effort into cleaning up the city and trying to solve the homeless and drug problem. Overall he has promised to balance the budget will hopefully be able to make significant budget cuts. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,4.5,0.92,,0.0,83.3,40.0,Medium (3-5.9),3,Neither
51,Faculty,,,3.0,4.0,,,,Yes,Yes,"Youth deserve a vote! If you can work, drive, etc. you deserve to vote for people and policies that impact your working rights, infrastructure, etc.!",,3.0,4.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",Sciences,11–20,"Students need a general understanding of geography & populations locally and nationally.

They need an understanding of their rights, especially voting rights. They need an understanding of the positions that are open for election and what those roles contribute to the city, state, and federal government.

I don't think they need to know voting trends, but rather need to be informed about the current candidates through unbiased profiles and also given unbiased description of the Props. California and SF has more proposals than I've ever seen on other state/city ballots, so digesting all that can be really hard!","Mature enough, yes typically. But often students are simply not well-informed on politics,  especially local issues - I suspect because they have no buy-in without a vote!! If they knew they could vote, they would pay more attention.",0.0,2.8,3.76,10.0,,,None (0),2,Both
52,Student,15.0,10.0,2.0,2.0,2.0,2.0,5.0,Yes,Yes,I think its important for everyones voices to be heard and at age 16 I think it is a good age.,2.0,3.0,3.0,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,0.0,0.84,,0.0,25.0,9.2,None (0),4,Both
53,Student,15.0,9.0,2.0,3.0,1.0,1.0,5.0,Yes,Unsure,I feel like many federal voters would not do proper research and would vote in ignorance which is dangerous but the youth is also part of society and deserves to have a say.,5.0,3.0,3.0,my friends dad and voting no to prop 7 or something like that and ya,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.5,4.12,,0.0,58.3,25.8,Low (0.1-2.9),4,Local only
54,Student,17.0,11.0,3.0,3.0,2.0,1.0,4.0,Unsure,No,"I do belive that 18 is a good age to vote federally, and I think that sophmores in HS may be a little young, especially if they are not as informed/ more easily influenced by enviornments then actual opinions. ",5.0,2.0,1.0,I think he's donig a great job with exposure and action on issues he said he would help with as well as getting SF back as a thriving city. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.5,2.76,,0.0,66.7,24.2,Low (0.1-2.9),4,Mixed/Unsure
55,Student,17.0,11.0,2.0,2.0,1.0,1.0,5.0,No,No,No. I don't think 16 and 17 year olds are quite ready to do their own research and come to their own conclusions. ,3.0,2.0,2.0,I know that he shows up for everything to increase moral and to make sure things get done. He is an optimist. ,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.5,1.56,,0.0,33.3,13.7,Low (0.1-2.9),3,Neither
56,Student,16.0,10.0,1.0,2.0,1.0,1.0,5.0,Unsure,No,18 still feels like the reasonable age,5.0,2.0,3.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,0.0,0.28,,0.0,41.7,4.1,None (0),3,Mixed/Unsure
57,Student,17.0,12.0,3.0,4.0,1.0,2.0,4.0,No,No,"less developed prefrontal cortex, even more vulnerable to manipulation and polarizing influence --> less rational populus",5.0,2.0,1.0,"mayor daniel lurie’s basically running on a ""common-sense"" moderate scheme rn, mostly focused on cleaning up the streets and making city hall more efficient. his big north star is public safety, so he’s pushing for more shelter beds and a crack down on the fentanyl crisis and sideshows. he’s also trying to revive downtown by turning empty offices into housing and even launched a ""family opportunity"" plan for things like free childcare. honestly, he’s got a massive $643 million budget deficit to deal with, so he’s making some tough cuts while also pitching a major ballot measure for the fall to overhaul how the city's charter works.","Social media (TikTok, Instagram, X), Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,10.0,1.8,,0.0,75.0,61.9,High (6-10),4,Neither
58,Student,15.0,9.0,4.0,5.0,3.0,3.0,5.0,Yes,Yes,Sixteen year olds should have enough level of understanding to vote. Plenty of adults who are not educated on elections are allowed to.,5.0,4.0,3.0,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School, Other",,,,,0.0,0.92,,0.0,91.7,25.1,None (0),5,Both
59,Faculty,,,4.0,4.0,,,,Yes,Unsure,Growing up (and frequently visiting family) in rural Washington State has helped me appreciate just how well read and involved San Francisco based teens are in local political and national/global social justice movements in ways that don't exist everywhere in our country. ,,5.0,3.0,,"Traditional news (NYT, WSJ, SF Chronicle), Other",Mathematics,20+,Empathy,Same explanation as above!,0.0,2.36,0.16,1.43,,,None (0),2,Local only
60,Student,17.0,11.0,2.0,4.0,1.0,1.0,4.0,Yes,Yes,Because 2 years is not a lot of time and it would allow younger people a voice when they are the future. ,5.0,3.0,5.0,Ik the mayor is rly cleaning up downtown,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,1.0,0.88,,0.0,66.7,19.6,Low (0.1-2.9),2,Both
61,Student,15.0,9.0,1.0,3.0,1.0,1.0,5.0,Yes,No,16 year olds are mature enough to for their city elections but not for federal elections.,4.0,4.0,2.0,The mayor is democratic and his name is Daniel Lurie,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,3.5,2.24,,0.0,41.7,28.1,Medium (3-5.9),4,Local only
62,Student,15.0,9.0,4.0,5.0,1.0,1.0,4.0,No,No,"I think not because 18 is the perfect age. those in army can vote and any younger, i don't think we are ready.",3.0,1.0,3.0,,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,0.0,0.96,,0.0,75.0,25.2,None (0),5,Neither
63,Student,14.0,9.0,5.0,5.0,1.0,1.0,1.0,No,No,"Because the pre-frontal cortex isn't fully developed by age 16, and I think the legal voting age should be 18+ still, because you will have at least a completed high school education, and education is valuable to political voice and opinion",5.0,4.0,4.0,"I know that Daniel Lurie focuses on lowering homelessness rates in San Francisco,  promoting San Francisco tourism by advertising and advocating for small business establishments in SF, and lowering crime/illegal drug rates.","YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,6.5,2.92,,0.0,100.0,61.2,High (6-10),4,Neither
64,Student,17.0,11.0,4.0,4.0,1.0,1.0,5.0,No,Yes,"I feel like local politics have greater effect on my everyday life than federal politics do. As a result, I'd prefer if the local votes were kept at 18 (so people are less likely to make snap judgements and be influenced by their peers).",5.0,2.0,4.0,Daniel Lurie! Supporting small businesses and moving away from DEI work to focus on actually improving schools etc,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,3.5,3.0,,0.0,83.3,43.2,Medium (3-5.9),2,Federal only
65,Student,16.0,10.0,3.0,4.0,2.0,2.0,3.0,Yes,No,"I think it would be fine for the age of local voters to be under 18, as they contribute more to city policies, but we don’t contribute to federal ",5.0,5.0,4.0,"His name is Daniel Lurie, his daughter goes to UHS, he’s generally pretty public ","Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,2.5,3.4,,0.0,75.0,37.5,Low (0.1-2.9),2,Local only
